"symbol","name","issuer","asset_class","category","sector","theme","role_in_ai_sleeve","offense_defense","primary_use","universe_status","include_in_active_universe","agent_affinity","agent_concern","expense_ratio","expense_ratio_source","expense_ratio_as_of_date","liquidity_tier","aum_or_liquidity_note","trend_candidate","value_candidate","quality_candidate","macro_theme_candidate","defensive_candidate","cash_buffer_candidate","nisa_eligible_status","nisa_usage_policy","preferred_account","rakuten_available","sbi_available","monex_available","nomura_available","broker_availability_note","needs_order_screen_check","expected_overlap_with_core","core_overlap_reason","main_risks","required_checks","entry_checks","avoid_entry_conditions","invalidation_conditions","data_quality_status","source_urls","notes"
"DBMF","iMGP DBi Managed Futures Strategy ETF","iM Global Partner / DBi","alternatives","Managed Futures / Alternatives","managed_futures","crisis_diversifier","株・債券と異なる危機対応/分散候補","defense","alternative_diversifier","research","false","aqr_meb;paul_tudor_jones;howard_marks","buffett;core_ai_auditor","0.85%","issuer","2026-03-31","medium","$1bn超級。複雑だが代替としては実用規模","true","false","false","true","true","false","not_suitable","taxable_preferred","avoid_nisa","unknown","unknown","unknown","unknown","公開ブローカー確認不足。税務・商品性理解も要","true","low","先物ベースで株式コアと性質が異なる","高コスト、商品理解難易度、期待外れ期間の長さ","商品性理解、税務、ブローカー可否","分散強化が目的であること","仕組みを理解せず採用する場合","分散効果が出ず単なる高コスト商品化する時","needs_broker_check","https://www.imgp.com/wp-content/uploads/2026/04/DBMF_FACTSHEET_EN.pdf","面白いが、AI検証枠では理解コストが高い"
"XLP","Consumer Staples Select Sector SPDR Fund","State Street / SPDR","equity","Other Candidates","consumer_staples","","生活必需品の守り枠","defense","defensive_sector","research","false","howard_marks;buffett","druckenmiller","0.08%","issuer","2026-06-04","high","$15.5bn級。ディフェンシブだが成長余地は限定的","false","false","false","false","true","false","unknown","core_long_term_only","either","unknown","unknown","unknown","unknown","公開確認不足。注文画面確認","true","low","必需品中心で既存ITコアと差が大きい","成長不足、金利/ディフェンシブローテ","上位集中・ディフェンシブ優位の持続","守りが必要かどうか","AI枠で攻めを優先する時","守りの役割を果たせない時","needs_broker_check","https://www.ssga.com/us/en/intermediary/etfs/state-street-consumer-staples-select-sector-spdr-etf-xlp","XLU/XLVより優先度は一段下"
"XLV","Health Care Select Sector SPDR Fund","State Street / SPDR","equity","Other Candidates","health_care","","ディフェンシブセクター候補","defense","defensive_sector","research","false","howard_marks;buffett","druckenmiller","0.08%","issuer","2026-06-04","very_high","$38.8bn級。医薬・機器・保険に分散","false","false","false","false","true","false","unknown","core_long_term_only","either","unknown","confirmed","unknown","confirmed","SBIのSSGA一覧・Nomura特化ETF一覧で確認。その他は注文画面確認","true","low","ヘルスケア比率は既存ITコアと差が大きい","薬価・政策・セクターローテーション","上位集中・政策リスク","守り強化時","攻めテーマ優先の場合","守り機能が低下した時","sufficient","https://www.ssga.com/us/en/intermediary/etfs/state-street-health-care-select-sector-spdr-etf-xlv","守りのセクター候補"
"GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund","First Trust","equity","Power / Grid / Utilities","grid_infrastructure","smart_grid","送配電・機器・制御まで広げた電力網テーマ","offense","theme_complement","research","false","druckenmiller;core_ai_auditor","howard_marks","0.56%","issuer","2026-02-02","high","$11.36bn級・Top10約55%。ABB/Eaton/Schneider等","true","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","公開ブローカー確認不足。注文画面確認","true","low","電力設備・配電が中心で既存コアと差が大きい","費用率、海外比率、テーマ人気の反動","上位集中・ブローカー可否・費用","電力設備投資加速、相対強度","テーマ急騰後","電力網投資期待が剥落した時","needs_broker_check","https://www.ftportfolios.com/etf/GRID","面白いが、100万円枠ではややテーマが細かい"
"SMH","VanEck Semiconductor ETF","VanEck","equity","Semiconductor","semiconductors","ai_infrastructure","AIインフラ本丸だが、既存コアとの重複が非常に大きい","offense","theme_sector","research","false","druckenmiller;paul_tudor_jones","howard_marks;rob_arnott;core_ai_auditor","0.35%","issuer","2026-06-04","very_high","大型・高流動性。半導体テーマの主力格","true","false","false","true","false","false","confirmed","avoid_rotation","taxable","confirmed","confirmed","confirmed","confirmed","楽天信用一覧、SBI個別ページ、Monex NISA一覧、野村特化ETF一覧で確認","true","very_high","既存FANG+/NASDAQ100と同方向。AI・半導体集中","半導体循環、AI期待先行、既存コア重複","重複率・上位銘柄・過熱度","相対強度、200日線、決算/設備投資確認","既にコアでNVDA・AVGO等が重い時","半導体景気後退・200日線明確割れ","sufficient","https://www.vaneck.com/us/en/investments/semiconductor-etf-smh/","良いETFだが、“AI枠で何を増やすのか”を最も厳しく問う必要がある"
"VTV","Vanguard Value ETF","Vanguard","equity","Value / Smart Beta","large_cap_value","","大型バリューの低コスト候補。AVUVより穏やかな反グロース補完","mixed","factor_diversifier","research","false","rob_arnott;buffett","druckenmiller","unknown","needs fee check","2026-06-06","very_high","大型で流動性が高い。Monex NISA一覧と楽天検索で確認","false","true","false","false","false","false","confirmed","core_long_term_only","either","confirmed","unknown","confirmed","unknown","楽天検索とMonex NISA一覧で確認。最終確認は注文画面","true","moderate","大型株内ではあるがグロース偏重を相殺しやすい","大型株偏り、バリュー不発、費用未確認","費用・既存大型株比率・セクター偏り","グロース過熱是正、バリュースプレッド改善","景気敏感バリューが過熱した後","補完役より単なる大型株増し玉になる時","needs_fee_check","https://investor.vanguard.com/investment-products/etfs/profile/vtv","AVUVより穏やかなバリュー補完"
"AGG","iShares Core U.S. Aggregate Bond ETF","iShares","fixed_income","Aggregate Bonds / Risk-Off Buffer","aggregate_bonds","risk_off","BND代替の総合債券ETF","defense","risk_off_buffer","fallback","false","howard_marks;core_ai_auditor","druckenmiller","unknown","needs fee check","2026-06-06","very_high","13,000超の投資適格債に広く分散","false","false","false","false","true","false","unknown","taxable_preferred","taxable","unknown","unknown","unknown","unknown","主要証券会社の最終取扱は注文画面確認","true","low","総合債券で別資産","金利・MBS・為替","費用・デュレーション","BND代替としてのみ","攻め枠代用","支援役を超える使い方","needs_fee_check","https://www.ishares.com/us/products/239458/ishares-core-total-us-bond-market-etf","fallback"
"SOXX","iShares Semiconductor ETF","iShares","equity","Semiconductor","semiconductors","ai_infrastructure","SMH代替。指数構成差の比較用","offense","fallback_theme","fallback","false","druckenmiller;paul_tudor_jones","howard_marks;core_ai_auditor","unknown","needs fee check","2026-06-06","high","大型・30銘柄。SMHとの比較対象","true","false","false","true","false","false","unknown","avoid_rotation","taxable","unknown","unknown","unknown","unknown","主要証券での最終可否は注文画面確認","true","very_high","AI/半導体集中で既存コアと高重複","濃い半導体ベータ、費用未確認","費用・ブローカー可否・SMHとの指数差","SMH代替として使う必然性があるか","単に“半導体だから”で追加する場合","SMH等より劣後が明確な場合","needs_fee_check","https://www.ishares.com/us/products/239705/ishares-semiconductor-etf","fallbackに留める"
"BND","Vanguard Total Bond Market ETF","Vanguard","fixed_income","Aggregate Bonds / Risk-Off Buffer","aggregate_bonds","risk_off","通常時の攻めではなく、リスクオフ緩衝材・比較対象","defense","risk_off_buffer","support","false","howard_marks;core_ai_auditor","druckenmiller;paul_tudor_jones","unknown","needs fee check","2026-06-06","very_high","米国総合債券の代表格。BND自体は攻めの主役ではない","false","false","false","false","true","false","unknown","taxable_preferred","taxable","confirmed","unknown","unknown","confirmed","楽天特集・野村債券ETF一覧で確認。その他は注文画面確認","true","low","債券で性質が異なる","金利上昇、信用・MBS要素、為替","デュレーション・為替・口座区分","リスクオフ緩衝材が必要な時だけ","通常時の攻め枠として代用する場合","守りの役割を超えた主役化","needs_fee_check","https://investor.vanguard.com/investment-products/etfs/profile/bnd","支援役。攻め枠にはしない"
"QQQ","Invesco QQQ Trust","Invesco","equity","Benchmark / Core","large_cap_growth","nasdaq100","NASDAQ100比較用。既存core_manualとの重複確認用","offense","benchmark","support","false","Paul Tudor Jones;druckenmiller","howard_marks;rob_arnott;core_ai_auditor","0.18%","issuer","2026-03-31","very_high","$494bn級・米国2番目の出来高ETF級","true","false","false","true","false","false","confirmed","core_long_term_only","either","confirmed","confirmed","unknown","confirmed","SBI/野村は公開ページで確認。楽天は売買ランキング等で確認","true","very_high","既存NASDAQ100/FANG+と実質同方向","重複、バリュエーション、テック集中","既存QQQ/NASDAQ100相当の保有有無","AI枠では原則比較用","コア重複が大きい場合","benchmark用途以外で主力化","sufficient","https://www.invesco.com/qqq-etf/en/home.html","read-only参照対象"
"VOO","Vanguard S&P 500 ETF","Vanguard","equity","Benchmark / Core","broad_market","","S&P500比較ベンチマーク。新規主買付ではなく既存core_manualとの重複確認用","mixed","benchmark","support","false","core_ai_auditor","howard_marks;rob_arnott","0.03%","issuer","2026-04-28","very_high","$1tn超級。比較用には最適、攻め枠では重複大","false","false","false","false","false","false","likely","core_long_term_only","either","unknown","unknown","unknown","unknown","大手では一般に取扱いが想定されるが、最終確認は注文画面","true","very_high","既存S&P500/FANG+/NASDAQ100コアと方向性がほぼ同じ","既存コアとの重複、検証枠の意味が薄れる","比較対象として使うだけなら不要。買付時は意図を再確認","AI枠では原則エントリー不要","既存コア補完目的が不明瞭な場合","ベンチマーク用途以外で主力化しそうな場合","sufficient","https://investor.vanguard.com/investment-products/etfs/profile/voo","AUMは大きいが、AI検証枠ではbenchmark専用が基本"
"VT","Vanguard Total World Stock ETF","Vanguard","equity","Benchmark / Core","global_equity","world","世界株比較ベンチマーク。米国偏重是正の基準線","mixed","benchmark","support","false","buffett;core_ai_auditor","druckenmiller","0.06%","issuer","2026-02-27","high","$95bn級。世界株基準として有用","false","false","false","false","false","false","confirmed","core_long_term_only","either","confirmed","unknown","confirmed","confirmed","楽天特集・Monex NISA一覧・野村NISA一覧で確認。最終確認は注文画面","true","moderate","世界分散だが米国比率が高く、既存コアと一部重複","世界株でも米国比率が大きい、AI枠の独自性が薄れやすい","米国比率許容範囲","世界分散ベースラインが必要な時のみ","AI枠で差別化優先の場合","比較用途が不要になった場合","sufficient","https://investor.vanguard.com/investment-products/etfs/profile/vt","ベンチマークとしては有用"
"VTI","Vanguard Total Stock Market ETF","Vanguard","equity","Benchmark / Core","broad_market","","米国株全体比較ベンチマーク。大型成長以外の広さ確認用","mixed","benchmark","support","false","core_ai_auditor","howard_marks;rob_arnott","0.03%","issuer","2026-04-28","very_high","超大型。小型株も含むがリスクの主因は依然米国株","false","false","false","false","false","false","confirmed","core_long_term_only","either","unknown","unknown","confirmed","confirmed","Monex/Nomuraの公開ページで確認。その他は注文画面確認","true","high","既存の米国大型成長コアを薄める効果はあるが、依然米国株βが主","米国株エクスポージャーの追加、検証枠の差別化不足","既存コアとの米国比率総量","比較対象用途かどうかを確認","AI枠の差別化が必要な場合","補完目的が消えた場合","sufficient","https://investor.vanguard.com/investment-products/etfs/profile/vti","benchmark用途は有効だが、AI枠主戦場にはしない"
"JPST","JPMorgan Ultra-Short Income ETF","J.P. Morgan Asset Management","fixed_income","Cash Buffer / Short-Term Bonds","ultra_short_bonds","cash_buffer","待機資金の第二候補。SGOVより少し取りに行く代わりに信用リスクを取る","buffer","cash_buffer_plus","support","false","howard_marks;core_ai_auditor","druckenmiller","0.18%","issuer","2026-04-30","very_high","$38.7bn級。主に投資適格ドル建て短期債、デュレーション通常1年以下","false","false","false","false","true","true","unknown","taxable_preferred","taxable","confirmed","confirmed","unknown","unknown","楽天特集・SBI個別ページで確認。その他は注文画面確認","true","low","債券待機資金で株式コアと別","信用スプレッド、SGOVより低い安全性","信用リスク許容、為替","SGOVよりやや利回りを狙うが長くロックしない","本格リスクオフで信用不安が強い時","待機先としての優位が薄れた時","needs_broker_check","https://am.jpmorgan.com/us/en/asset-management/adv/products/jpmorgan-ultra-short-income-etf-etf-shares-46641q837","SGOV代替だが“キャッシュ同等”ではない"
"SGOV","iShares 0-3 Month Treasury Bond ETF","iShares","fixed_income","Cash Buffer / Short-Term Bonds","treasury_bills","cash_buffer","未投入資金の待機先第一候補","buffer","cash_buffer","support","false","howard_marks;core_ai_auditor;paul_tudor_jones","druckenmiller","0.09%","issuer","2026-06-04","very_high","$68.6bn級。0-3ヶ月T-Billで金利リスク最小","false","false","false","false","true","true","unknown","taxable_preferred","taxable","unknown","unknown","unknown","unknown","公開ブローカー確認不足。注文画面確認","true","low","株式と別の待機資産","為替、再投資金利低下","為替コスト・税務・買付可否","投資待機資金の一時置き場に限定","攻め資産として期待する場合","待機資産の役割を超えて長期主力化する時","needs_broker_check","https://www.ishares.com/us/products/314116/ishares-0-3-month-treasury-bond-etf","待機資金はまずSGOV、次点でJPST"
"GLDM","SPDR Gold MiniShares Trust","State Street / SPDR","commodity","Gold / Commodity","gold","gold","危機時の逃げ場・実質金利低下/不信認ヘッジ","defense","crisis_hedge","support","false","howard_marks;paul_tudor_jones","buffett","0.10%","issuer","2026-06-05","very_high","$30.5bn級。低コスト金ETF","false","false","false","true","true","false","unknown","taxable_preferred","avoid_nisa","confirmed","unknown","unknown","confirmed","楽天特集と野村コモディティ一覧で確認。その他は注文画面確認","true","low","株式コアと異なる実物資産ヘッジ","無利子資産、ドル/実質金利感応度","保有目的をヘッジに限定","株式相関低減が必要な時","短期値幅取りのみが目的の時","ヘッジ目的が不要になった時","sufficient","https://www.ssga.com/us/en/intermediary/etfs/spdr-gold-minishares-trust-gldm","AI枠の守りとしては実用性が高い"
